offset,price,title,odometer,body,transmission,engine
0,"$59,980*",2021 Toyota Kluger GX Auto eFour,"28,071 km",SUV,Automatic,2.5i/184kW Hybrid
0,"$53,990*",2021 Toyota Kluger GX Auto eFour,"72,631 km",SUV,Automatic,2.5i/184kW Hybrid
0,"$37,990",2019 Toyota Kluger GX Auto 2WD,"82,713 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$18,500*",2011 Toyota Kluger Grande Auto 2WD MY11,"203,500 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$66,990*",2021 Toyota Kluger GXL Auto 2WD,196 km,SUV,Automatic,6cyl 3.5L Petrol
0,"$55,990*",2022 Toyota Kluger GX Auto 2WD,"6,602 km",SUV,Automatic,4cyl 2.4L Turbo Petrol
0,"$27,000*",2015 Toyota Kluger GX Auto 2WD,"134,000 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$67,961",2021 Toyota Kluger Grande Auto 2WD,"49,762 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$52,350*",2022 Toyota Kluger GX Auto 2WD,"30,709 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$73,250*",2023 Toyota Kluger GXL Auto eFour,"2,608 km",SUV,Automatic,2.5i/184kW Hybrid
0,"$47,990*",2021 Toyota Kluger GX Auto 2WD,"26,948 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$81,477",2022 Toyota Kluger Grande Auto eFour,"13,936 km",SUV,Automatic,2.5i/184kW Hybrid
0,"$42,990*",2018 Toyota Kluger Grande Auto 2WD,"83,336 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$69,990",2022 Toyota Kluger Grande Auto 2WD,"30,834 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$69,990",2022 Toyota Kluger GXL Auto eFour,"14,518 km",SUV,Automatic,2.5i/184kW Hybrid
0,"$61,888*",2021 Toyota Kluger GX Auto eFour,"14,957 km",SUV,Automatic,2.5i/184kW Hybrid
0,"$39,999*",2019 Toyota Kluger GX Auto 2WD,"79,836 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$22,990*",2011 Toyota Kluger Grande Auto AWD MY11,"121,345 km",SUV,Automatic,6cyl 3.5L Petrol
0,"$41,800*",2019 Toyota Kluger Black Edition Auto 2WD,"93,943 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$36,990",2017 Toyota Kluger GXL Auto 2WD,"93,313 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$78,888*",2021 Toyota Kluger Grande Auto eFour,"11,400 km",SUV,Automatic,2.5i/184kW Hybrid
12,"$66,850*",2023 Toyota Kluger GX Auto eFour,96 km,SUV,Automatic,2.5i/184kW Hybrid
12,"$37,990",2019 Toyota Kluger GX Auto 2WD,"82,713 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$43,990",2018 Toyota Kluger Grande Auto AWD,"97,309 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$39,990*",2019 Toyota Kluger GX Auto 2WD,"37,463 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$60,990",2021 Toyota Kluger GXL Auto AWD,"14,500 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$33,900*",2018 Toyota Kluger GXL Auto AWD,"138,700 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$72,990*",2022 Toyota Kluger Grande Auto eFour,"25,079 km",SUV,Automatic,2.5i/184kW Hybrid
12,"$81,888*",2023 Toyota Kluger Grande Auto eFour,"5,311 km",SUV,Automatic,2.5i/184kW Hybrid
12,"$65,990*",2021 Toyota Kluger GXL Auto AWD,"14,095 km",SUV,Automatic,6cyl 3.5L Petrol
12,"$17,990*",2013 Toyota Kluger Altitude Auto 2WD,"168,124 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$30,998*",2017 Toyota Kluger GX Auto AWD,"119,075 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$39,998*",2019 Toyota Kluger Black Edition Auto 2WD,"64,766 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$73,888*",2022 Toyota Kluger Grande Auto eFour,"26,910 km",SUV,Automatic,2.5i/184kW Hybrid
24,"$37,999*",2017 Toyota Kluger GX Auto 2WD,"62,050 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$31,990",2019 Toyota Kluger GX Auto AWD,"138,978 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$35,985",2018 Toyota Kluger GXL Auto AWD,"138,859 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$67,990",2021 Toyota Kluger GXL Auto eFour,"20,034 km",SUV,Automatic,2.5i/184kW Hybrid
24,"$33,486*",2016 Toyota Kluger GXL Auto 2WD,"83,025 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$39,990*",2018 Toyota Kluger GX Auto 2WD,"60,341 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$59,980*",2021 Toyota Kluger GX Auto eFour,"28,071 km",SUV,Automatic,2.5i/184kW Hybrid
24,"$37,588",2018 Toyota Kluger GX Auto 2WD,"61,560 km",SUV,Automatic,6cyl 3.5L Petrol
24,"$78,600*",2023 Toyota Kluger GXL Auto eFour,571 km,SUV,Automatic,2.5i/184kW Hybrid
36,"$77,000*",2022 Toyota Kluger Grande Auto eFour,"22,715 km",SUV,Automatic,2.5i/184kW Hybrid
36,"$49,999*",2018 Toyota Kluger GXL Auto AWD,"22,506 km",SUV,Automatic,6cyl 3.5L Petrol
36,"$66,990*",2021 Toyota Kluger GXL Auto 2WD,196 km,SUV,Automatic,6cyl 3.5L Petrol
36,"$84,980*",2023 Toyota Kluger Grande Auto eFour,100 km,SUV,Automatic,2.5i/184kW Hybrid
36,"$54,880*",2021 Toyota Kluger GX Auto eFour,"67,941 km",SUV,Automatic,2.5i/184kW Hybrid
36,"$32,000*",2017 Toyota Kluger GXL Auto 2WD,"147,000 km",SUV,Automatic,6cyl 3.5L Petrol
36,"$49,750*",2019 Toyota Kluger GXL Auto AWD,"38,000 km",SUV,Automatic,6cyl 3.5L Petrol
36,"$39,490",2019 Toyota Kluger GXL Auto 2WD,"110,503 km",SUV,Automatic,6cyl 3.5L Petrol
36,"$55,990*",2022 Toyota Kluger GX Auto 2WD,"6,602 km",SUV,Automatic,4cyl 2.4L Turbo Petrol
36,"$42,500*",2018 Toyota Kluger Grande Auto AWD,"92,000 km",SUV,Automatic,6cyl 3.5L Petrol
36,"$47,000*",2019 Toyota Kluger GXL Auto AWD,"52,800 km",SUV,Automatic,6cyl 3.5L Petrol
36,"$20,200*",2011 Toyota Kluger Grande Auto AWD MY11,"153,000 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$44,888*",2021 Toyota Kluger GX Auto 2WD,"52,531 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$28,000*",2015 Toyota Kluger GX Auto 2WD,"195,000 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$12,995*",2009 Toyota Kluger KX-R Auto 2WD,"267,212 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$13,000*",2012 Toyota Kluger KX-R Auto 2WD MY12,"312,995 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$62,999*",2021 Toyota Kluger GXL Auto eFour,"32,726 km",SUV,Automatic,2.5i/184kW Hybrid
48,"$30,990*",2018 Toyota Kluger GX Auto 2WD,"117,317 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$71,888*",2021 Toyota Kluger Grande Auto eFour,"40,165 km",SUV,Automatic,2.5i/184kW Hybrid
48,"$68,886",2021 Toyota Kluger Grande Auto 2WD,"28,092 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$5,600*",2005 Toyota Kluger CVX Auto AWD,"241,710 km",SUV,Automatic,6cyl 3.3L Petrol
48,"$35,990*",2015 Toyota Kluger Grande Auto 2WD,"77,000 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$26,000*",2012 Toyota Kluger Grande Auto AWD MY12,"181,000 km",SUV,Automatic,6cyl 3.5L Petrol
48,"$39,990",2019 Toyota Kluger GX Auto AWD,"81,583 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$34,990",2017 Toyota Kluger GXL Auto AWD,"102,445 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$39,888*",2017 Toyota Kluger Grande Auto 2WD,"100,222 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$37,900*",2018 Toyota Kluger Grande Auto AWD,"133,428 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$10,500*",2008 Toyota Kluger KX-S Auto 2WD,"303,762 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$41,880",2018 Toyota Kluger GXL Auto 2WD,"62,635 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$15,600*",2012 Toyota Kluger KX-R Auto 2WD MY12,"145,771 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$68,950*",2023 Toyota Kluger GX Auto eFour,19 km,SUV,Automatic,2.5i/184kW Hybrid
60,"$46,000*",2017 Toyota Kluger Grande Auto AWD,"91,327 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$62,990",2021 Toyota Kluger GXL Auto eFour,"47,402 km",SUV,Automatic,2.5i/184kW Hybrid
60,"$26,850*",2015 Toyota Kluger GX Auto AWD,"143,520 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$16,500*",2013 Toyota Kluger KX-R Auto AWD,"244,300 km",SUV,Automatic,6cyl 3.5L Petrol
60,"$21,950*",2014 Toyota Kluger GX Auto AWD,"258,748 km",SUV,Automatic,6cyl 3.5L Petrol
72,"$66,990*",2021 Toyota Kluger Grande Auto AWD,"17,890 km",SUV,Automatic,6cyl 3.5L Petrol
72,"$20,500*",2013 Toyota Kluger Grande Auto AWD,"184,300 km",SUV,Automatic,6cyl 3.5L Petrol
