site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
001006,01,WYNDHAM AERO,1951,..,-15.5100,128.1503,GPS,WA,3.8,4.3,95214,"Wyndham, WA ",/places/wa/wyndham/,-15.510,128.150,,,2025-03-24T20:08:06Z,25.3,3:50am,95214,1.4
001007,01,TROUGHTON ISLAND,1956,..,-13.7542,126.1485,GPS,WA,6.0,8.0,94102,"Unnamed location, WA ",/places/wa/F3ZC/?location=Unnamed location,-13.754,126.148,,,2025-03-24T20:08:06Z,27.7,3:50am,94102,NA
001018,01,MOUNT ELIZABETH,1973,..,-16.4181,126.1025,GPS,WA,546.0,547.0,94211,"Gibb, WA ",/places/wa/F2PS/?location=Gibb,-16.418,126.103,,,2025-03-24T20:08:06Z,NA,NA,NA,NA
001019,01,KALUMBURU,1997,..,-14.2964,126.6453,GPS,WA,23.0,24.0,94100,"Kalumburu, WA ",/places/wa/kalumburu/,-14.296,126.645,,,2025-03-24T20:08:06Z,25.7,3:50am,94100,0.9
001020,01,TRUSCOTT,1944,..,-14.0900,126.3867,GPS,WA,51.0,52.5,95101,"Mitchell Plateau, WA ",/places/wa/F98F/?location=Mitchell Plateau,-14.090,126.387,,,2025-03-24T20:08:06Z,25.5,3:50am,95101,3.1
001025,01,DOONGAN,1988,..,-15.3797,126.3114,GPS,WA,385.0,386.0,94215,"Drysdale River, WA ",/places/wa/F8B2/?location=Drysdale River,-15.380,126.311,,,2025-03-24T20:08:06Z,NA,NA,NA,NA
001036,01,DOONGAN ASA,2012,..,-15.3792,126.3108,GPS,WA,383.5,384.9,99215,"Drysdale River, WA ",/places/wa/F8B2/?location=Drysdale River,-15.379,126.311,,,2025-03-24T20:08:06Z,NA,NA,NA,NA
002012,02,HALLS CREEK METEOROLOGICAL OFFICE,1944,..,-18.2291,127.6636,GPS,WA,422.0,423.9,99201,"Halls Creek, WA ",/places/wa/halls-creek/,-18.229,127.664,,,2025-03-24T20:08:06Z,27.2,3:50am,94212,1.8
002032,02,WARMUN,1897,..,-17.0154,128.2174,GPS,WA,203.0,205.0,94213,"Durack, WA ",/places/wa/DZB2/?location=Durack,-17.015,128.217,,,2025-03-24T20:08:06Z,27.7,3:50am,94217,48.2
002056,02,KUNUNURRA AERO,1971,..,-15.7814,128.7100,GPS,WA,44.0,44.4,94216,"Unnamed location, WA ",/places/wa/FBD8/?location=Unnamed location,-15.781,128.710,,,2025-03-24T20:08:06Z,23.9,3:50am,94216,3.8
002081,02,HALLS CREEK AIRPORT (AUTO EVAP),2024,..,-18.2337,127.6666,GPS,WA,409.4,410.7,99288,"Halls Creek, WA ",/places/wa/halls-creek/,-18.234,127.667,,,2025-03-24T20:08:06Z,27.2,3:50am,94212,1.8
003003,03,BROOME AIRPORT,1939,..,-17.9475,122.2352,GPS,WA,7.4,8.7,94203,"Broome, WA ",/places/wa/broome/,-17.948,122.235,,,2025-03-24T20:08:06Z,27.3,3:50am,94203,0.6
003030,03,BIDYADANGA,1891,..,-18.6844,121.7803,GPS,WA,11.0,12.0,94202,"Lagrange, WA ",/places/wa/9YTQ/?location=Lagrange,-18.684,121.780,,,2025-03-24T20:08:06Z,NA,3:50am,95202,91.2
