site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
001000,01,KARUNJIE,1940,1983,-16.2919,127.1956,.....,WA,320.0,..,..,"Durack, WA ",/places/wa/F8HN/?location=Durack,-16.292,127.196
001001,01,OOMBULGURRI,1914,2012,-15.1806,127.8456,GPS,WA,2.0,..,..,"Oombulgurri, WA ",/places/wa/oombulgurri/,-15.181,127.846
001002,01,BEVERLEY SP,1959,1967,-16.5825,125.4828,.....,WA,..,..,..,"King Leopold Ranges, WA ",/places/wa/F2HB/?location=King Leopold Ranges,-16.582,125.483
001003,01,PAGO MISSION,1908,1940,-14.1331,126.7158,.....,WA,5.0,24.4,..,"Drysdale River, WA ",/places/wa/F9D1/?location=Drysdale River,-14.133,126.716
001004,01,KUNMUNYA,1915,1948,-15.4167,124.7167,.....,WA,47.0,..,..,"Prince Regent River, WA ",/places/wa/F2CB/?location=Prince Regent River,-15.417,124.717
001005,01,WYNDHAM PORT,1886,1995,-15.4644,128.1000,.....,WA,20.0,..,..,"Oombulgurri, WA ",/places/wa/F8XZ/?location=Oombulgurri,-15.464,128.100
001006,01,WYNDHAM AERO,1951,..,-15.5100,128.1503,GPS,WA,3.8,4.3,95214,"Wyndham, WA ",/places/wa/wyndham/,-15.510,128.150
001007,01,TROUGHTON ISLAND,1956,..,-13.7542,126.1485,GPS,WA,6.0,8.0,94102,"Unnamed location, WA ",/places/wa/F3ZC/?location=Unnamed location,-13.754,126.148
001008,01,MOUNT ELIZABETH OLD SITE,1959,1978,-16.3017,126.1825,.....,WA,640.0,..,..,"Gibb, WA ",/places/wa/F2PY/?location=Gibb,-16.302,126.183
001009,01,KURI BAY,1961,2012,-15.4875,124.5222,GPS,WA,12.0,17.0,..,"Prince Regent River, WA ",/places/wa/F28Y/?location=Prince Regent River,-15.488,124.522
